,year,month,global,northern,southern,bin
418,1914,11,-0.14,-0.21,-0.07,2
419,1914,12,-0.03,-0.04,-0.01,2
420,1915,1,-0.2,-0.26,-0.12,2
421,1915,2,-0.03,-0.08,0.03,2
422,1915,3,-0.09,-0.23,0.05,2
423,1915,4,0.07,0.08,0.07,3
424,1915,5,-0.05,-0.01,-0.09,2
425,1915,6,-0.21,-0.11,-0.29,2
426,1915,7,-0.11,-0.08,-0.13,2
427,1915,8,-0.21,-0.15,-0.26,2
428,1915,9,-0.2,-0.2,-0.19,2
429,1915,10,-0.24,-0.26,-0.2,2
430,1915,11,-0.12,-0.02,-0.22,2
431,1915,12,-0.21,-0.25,-0.17,2
432,1916,1,-0.11,-0.08,-0.15,2
433,1916,2,-0.14,-0.16,-0.12,2
434,1916,3,-0.27,-0.38,-0.17,2
435,1916,4,-0.3,-0.34,-0.26,2
436,1916,5,-0.33,-0.35,-0.32,1
437,1916,6,-0.48,-0.49,-0.47,1
438,1916,7,-0.36,-0.33,-0.4,1
439,1916,8,-0.27,-0.36,-0.19,2
440,1916,9,-0.35,-0.48,-0.23,1
441,1916,10,-0.32,-0.34,-0.31,1
442,1916,11,-0.45,-0.46,-0.46,1
443,1916,12,-0.81,-1.13,-0.51,0
444,1917,1,-0.57,-0.53,-0.62,1
445,1917,2,-0.62,-0.68,-0.58,0
446,1917,3,-0.63,-0.74,-0.53,0
447,1917,4,-0.54,-0.64,-0.46,1
448,1917,5,-0.54,-0.72,-0.38,1
449,1917,6,-0.42,-0.48,-0.38,1
450,1917,7,-0.24,-0.32,-0.18,2
451,1917,8,-0.21,-0.39,-0.06,2
452,1917,9,-0.22,-0.3,-0.15,2
453,1917,10,-0.43,-0.62,-0.26,1
454,1917,11,-0.32,-0.31,-0.35,1
455,1917,12,-0.66,-1.05,-0.28,0
456,1918,1,-0.47,-0.69,-0.26,1
457,1918,2,-0.33,-0.45,-0.23,1
458,1918,3,-0.24,-0.24,-0.25,2
459,1918,4,-0.43,-0.58,-0.29,1
460,1918,5,-0.42,-0.48,-0.37,1
461,1918,6,-0.35,-0.44,-0.28,1
462,1918,7,-0.31,-0.33,-0.28,1
463,1918,8,-0.31,-0.36,-0.26,1
464,1918,9,-0.17,-0.25,-0.09,2
465,1918,10,-0.05,-0.04,-0.06,2
466,1918,11,-0.11,-0.21,0.03,2
467,1918,12,-0.29,-0.55,0.0,2
468,1919,1,-0.2,-0.37,0.0,2
469,1919,2,-0.23,-0.41,-0.05,2
470,1919,3,-0.21,-0.38,-0.02,2
471,1919,4,-0.12,-0.23,-0.01,2
472,1919,5,-0.27,-0.41,-0.13,2
473,1919,6,-0.35,-0.39,-0.31,1
474,1919,7,-0.28,-0.33,-0.25,2
475,1919,8,-0.32,-0.3,-0.36,1
476,1919,9,-0.25,-0.19,-0.31,2
477,1919,10,-0.19,-0.08,-0.3,2
478,1919,11,-0.4,-0.47,-0.33,1
479,1919,12,-0.41,-0.55,-0.27,1
480,1920,1,-0.24,-0.15,-0.32,2
481,1920,2,-0.26,-0.28,-0.22,2
482,1920,3,-0.12,0.01,-0.24,2
483,1920,4,-0.23,-0.2,-0.26,2
484,1920,5,-0.26,-0.21,-0.31,2
485,1920,6,-0.35,-0.25,-0.44,1
486,1920,7,-0.29,-0.25,-0.33,2
487,1920,8,-0.26,-0.32,-0.2,2
488,1920,9,-0.21,-0.35,-0.07,2
489,1920,10,-0.26,-0.39,-0.12,2
490,1920,11,-0.26,-0.45,-0.07,2
491,1920,12,-0.45,-0.71,-0.2,1
492,1921,1,-0.04,0.19,-0.27,2
493,1921,2,-0.17,-0.08,-0.27,2
494,1921,3,-0.22,-0.11,-0.36,2
495,1921,4,-0.29,-0.17,-0.43,2
496,1921,5,-0.3,-0.24,-0.35,2
497,1921,6,-0.27,-0.15,-0.38,2
498,1921,7,-0.14,-0.03,-0.25,2
499,1921,8,-0.25,-0.29,-0.21,2
500,1921,9,-0.19,-0.17,-0.19,2
501,1921,10,-0.03,0.0,-0.04,2
502,1921,11,-0.13,-0.09,-0.16,2
503,1921,12,-0.17,-0.13,-0.21,2
504,1922,1,-0.32,-0.37,-0.27,1
505,1922,2,-0.44,-0.62,-0.25,1
506,1922,3,-0.14,-0.11,-0.19,2
507,1922,4,-0.22,-0.16,-0.29,2
508,1922,5,-0.33,-0.19,-0.47,1
509,1922,6,-0.3,-0.15,-0.45,2
510,1922,7,-0.27,-0.28,-0.27,2
511,1922,8,-0.32,-0.36,-0.29,1
512,1922,9,-0.35,-0.43,-0.29,1
513,1922,10,-0.32,-0.32,-0.33,1
514,1922,11,-0.14,-0.13,-0.16,2
515,1922,12,-0.18,-0.14,-0.23,2
516,1923,1,-0.27,-0.18,-0.36,2
517,1923,2,-0.39,-0.46,-0.31,1
518,1923,3,-0.33,-0.39,-0.29,1
519,1923,4,-0.4,-0.52,-0.28,1
520,1923,5,-0.33,-0.39,-0.28,1
521,1923,6,-0.28,-0.23,-0.33,2
522,1923,7,-0.3,-0.28,-0.32,2
523,1923,8,-0.32,-0.27,-0.37,1
524,1923,9,-0.31,-0.17,-0.43,1
525,1923,10,-0.13,0.07,-0.31,2
526,1923,11,-0.02,0.16,-0.19,2
527,1923,12,-0.04,0.1,-0.16,2
528,1924,1,-0.22,-0.28,-0.15,2
529,1924,2,-0.23,-0.21,-0.24,2
530,1924,3,-0.08,0.03,-0.18,2
531,1924,4,-0.3,-0.28,-0.32,2
532,1924,5,-0.18,-0.05,-0.29,2
533,1924,6,-0.25,-0.19,-0.31,2
534,1924,7,-0.28,-0.21,-0.34,2
535,1924,8,-0.35,-0.26,-0.45,1
536,1924,9,-0.32,-0.22,-0.41,1
537,1924,10,-0.35,-0.23,-0.46,1
538,1924,11,-0.2,0.11,-0.52,2
539,1924,12,-0.42,-0.36,-0.5,1
540,1925,1,-0.38,-0.28,-0.49,1
541,1925,2,-0.4,-0.38,-0.42,1
542,1925,3,-0.27,-0.23,-0.32,2
543,1925,4,-0.25,-0.16,-0.34,2
544,1925,5,-0.28,-0.21,-0.35,2
545,1925,6,-0.32,-0.25,-0.38,1
546,1925,7,-0.26,-0.25,-0.26,2
547,1925,8,-0.19,-0.18,-0.2,2
548,1925,9,-0.19,-0.04,-0.32,2
549,1925,10,-0.16,-0.08,-0.23,2
550,1925,11,0.05,0.22,-0.1,3
551,1925,12,0.07,0.23,-0.07,3
552,1926,1,0.21,0.53,-0.1,3
553,1926,2,0.03,0.19,-0.12,3
554,1926,3,0.11,0.37,-0.14,3
555,1926,4,-0.12,-0.11,-0.1,2
556,1926,5,-0.23,-0.23,-0.21,2
557,1926,6,-0.25,-0.19,-0.28,2
558,1926,7,-0.27,-0.19,-0.32,2
559,1926,8,-0.13,-0.05,-0.18,2
560,1926,9,-0.14,-0.02,-0.23,2
561,1926,10,-0.11,0.07,-0.26,2
562,1926,11,-0.06,0.17,-0.27,2
